time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/loss,train/std,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance
228,795.02,581.1685346999999,4154,950272,116,-0.03388059896606137,-19.083178943395616,0.21558837890625,0.019389715,17.26051412820816,7.24336576461792,1.1908615827560425,1150,0.0003,0.2,0.8196991682052612
228,802.18,586.61213094,4186,958464,117,-0.030323650755599375,-19.09400705099106,0.43720703125,0.051684298,6.100778874009848,2.271933078765869,1.194926381111145,1160,0.0003,0.2,0.730806827545166
229,797.58,584.08624938,4216,966656,118,-0.03556532666298153,-19.156973439455033,0.2463134765625,0.0194036,10.500449225306511,5.695385932922363,1.1994017362594604,1170,0.0003,0.2,0.8895843029022217
229,800.94,587.6307754799999,4253,974848,119,-0.035015652430593035,-19.19956305027008,0.32353515625,0.035081334,7.625034063309431,1.56584894657135,1.2042473554611206,1180,0.0003,0.2,0.8558611869812012
229,801.29,589.6813550800001,4287,983040,120,-0.03439196125546005,-19.25094340443611,0.4583984375,0.05415522,4.610556986927986,2.2506117820739746,1.2081185579299927,1190,0.0003,0.2,0.8402359485626221
229,817.55,602.52701517,4322,991232,121,-0.02895507402572548,-19.255732393264772,0.25172119140625,0.022362787,10.775473215430974,3.3434431552886963,1.2082628011703491,1200,0.0003,0.2,0.8695399761199951
229,810.37,595.5001520799999,4357,999424,122,-0.03343730916967615,-19.291266286373137,0.28873291015625,0.025139824,6.440053983777761,1.1845388412475586,1.2125954627990723,1210,0.0003,0.2,0.7852320671081543
229,808.15,594.0046801299999,4392,1007616,123,-0.0274899926771468,-19.31556466817856,0.19659423828125,0.015114485,13.231541121006012,2.440127372741699,1.2142144441604614,1220,0.0003,0.2,0.8664132356643677
229,812.2,598.03831372,4435,1015808,124,-0.030665286446310346,-19.33616996407509,0.14884033203125,0.012309115,19.10068759024143,11.056492805480957,1.217239499092102,1230,0.0003,0.2,0.8919700384140015
229,823.68,607.2636838999999,4470,1024000,125,-0.03154190768873377,-19.356659162044526,0.1954833984375,0.016564377,16.126943108439445,8.326210021972656,1.218727707862854,1240,0.0003,0.2,0.8120376467704773
229,811.83,598.98026561,4500,1032192,126,-0.0395026806720125,-19.371234023571013,0.32529296875,0.033124667,5.5954438090324405,3.043229579925537,1.2202696800231934,1250,0.0003,0.2,0.8533086180686951
229,824.51,610.6745386099999,4530,1040384,127,-0.025762774249596988,-19.437712997198105,0.48626708984375,0.057652954,4.7065553270280365,0.9060739874839783,1.226981520652771,1260,0.0003,0.2,0.876934289932251
229,833.26,619.51466877,4559,1048576,128,-0.034764843902667056,-19.469805830717085,0.33968505859375,0.036437415,5.798461601138115,1.1016583442687988,1.229343056678772,1270,0.0003,0.2,0.8143004179000854
230,837.67,625.47724061,4587,1056768,129,-0.030453112316899934,-19.475830996036528,0.18887939453125,0.015741942,9.372346390783786,1.5083845853805542,1.2307825088500977,1280,0.0003,0.2,0.8342767357826233
